"all50","nonstop50","all90","nonstop90"
134,977,6644,14643
131,974,6697,14690
133,937,6691,12523
133,960,6652,14629
137,952,6623,14664
141,993,6709,14826
130,956,6762,14907
137,973,6771,14935
141,982,6699,14627
134,994,6684,14878
134,996,6700,14772
134,998,6722,14787
136,967,6731,14878
141,985,6655,14656
133,991,6708,14907
132,990,6651,14811
140,998,6709,14777
141,975,6688,12602
136,938,6678,14703
137,973,6694,14698
132,938,6750,14842
130,968,6770,14827
136,955,6662,14714
141,1000,6668,14763
135,964,6740,14737
139,999,6688,14806
136,991,6691,14740
138,963,6653,14764
132,962,6765,14885
129,957,6733,14740
129,953,6612,14590
130,967,6667,14647
131,974,6693,14794
137,955,6685,14753
134,984,6673,14832
138,989,6760,14819
140,984,6601,14769
135,980,6695,14763
141,962,6804,12675
137,957,6666,14725
142,980,6697,14765
133,983,6681,14774
139,999,6664,14932
129,972,6728,12620
134,972,6761,14937
130,978,6719,14793
139,939,6637,14586
130,970,6684,14639
134,951,6683,14740
137,986,6718,14807
140,958,6749,14708
141,974,6663,14674
138,989,6611,14715
134,983,6663,14862
137,986,6701,12543
130,988,6752,14703
142,984,6701,14768
134,959,6787,14896
135,974,6740,14901
141,960,6679,14715
131,967,6662,14748
138,971,6684,14559
128,987,6701,14899
133,935,6706,12611
142,979,6740,14847
140,991,6662,14704
136,964,6660,12488
130,961,6755,14894
129,964,6649,14608
131,947,6713,12670
130,956,6699,14896
130,976,6710,14866
142,951,6785,14757
136,977,6676,14865
136,962,6711,14749
130,940,6660,14789
131,989,6690,14792
129,962,6722,14802
139,982,6781,12629
131,955,6677,14778
140,989,6717,12631
132,955,6700,14746
130,962,6691,14723
137,977,6764,12610
133,951,6641,14538
140,992,6684,14650
142,944,6655,14773
136,937,6668,14678
129,973,6664,14659
136,998,6723,14829
130,963,6691,12537
140,963,6739,14770
129,999,6682,14706
140,977,6646,14743
135,962,6724,14769
130,967,6698,14707
141,964,6693,14672
140,945,6690,14830
130,945,6638,14734
134,965,6657,14811
